Year,Quarter/Year,Date,Gross Metro Product,Total Households,Total Population,Total Real Personal Income,Disposable Real Pers Income,Persons Per Household,Res SF Permits,Res MF Permits,Total Res Permits,Employment Tot Non Agric,Total Employed,CPI Index,Fla - Gross State Product,Fla - Nbr of Households,Fla - Total Population,Fla -Total Real Personal Income,Fla - Dis Real Personal Income,Fla Total RealPers Inc per Hsld,Fla - Emplymt Tot NonAgricultur,Fla - Tot Resid Permits,Fla - Persons Per Hsld
1980,80Q1,2009-01-01,6.9876,,,,,,,,,,,,,,,,,,,,
1980,80Q2,2009-01-01,7.09879,,,,,,,,,,,,,,,,,,,,
1980,80Q3,2009-01-01,7.25138,,,,,,,,,,,,,,,,,,,,
1980,80Q4,2009-01-01,7.47957,,,,,,,,,,,,,,,,,,,,
1981,81Q1,2009-01-01,7.68399,,,,,,,,,,,,,,,,,,,,
1981,81Q2,2009-01-01,7.86075,,,,,,,,,,,,,,,,,,,,
1981,81Q3,2009-01-01,7.91044,,,,,,,,,,,,,,,,,,,,
1981,81Q4,2009-01-01,7.98435,,,,,,,,,,,,,,,,,,,,
1982,82Q1,2009-01-01,8.00928,,,,,,,,,,,,,,,,,,,,
1982,82Q2,2009-01-01,7.95263,,,,,,,,,,,,,,,,,,,,
1982,82Q3,2009-01-01,7.85593,,,,,,,,,,,,,,,,,,,,
1982,82Q4,2009-01-01,7.79883,,,,,,,,,,,,,,,,,,,,
1983,83Q1,2009-01-01,7.73233,,,,,,,,,,,,,,,,,,,,
1983,83Q2,2009-01-01,7.80634,,,,,,,,,,,,,,,,,,,,
1983,83Q3,2009-01-01,7.94151,,,,,,,,,,,,,,,,,,,,
1983,83Q4,2009-01-01,7.98778,,,,,,,,,,,,,,,,,,,,
1984,84Q1,2009-01-01,8.04277,,,,,,,,,,,,,,,,,,,,
1984,84Q2,2009-01-01,8.10618,,,,,,,,,,,,,,,,,,,,
1984,84Q3,2009-01-01,8.13407,,,,,,,,,,,,,,,,,,,,
1984,84Q4,2009-01-01,8.15766,,,,,,,,,,,,,,,,,,,,
1985,85Q1,2009-01-01,8.27951,,,,,,,,,,,,,,,,,,,,
1985,85Q2,2009-01-01,8.32087,,,,,,,,,,,,,,,,,,,,
1985,85Q3,2009-01-01,8.33576,,,,,,,,,,,,,,,,,,,,
1985,85Q4,2009-01-01,8.43714,,,,,,,,,,,,,,,,,,,,
1986,86Q1,2009-01-01,8.34927,,,,,,,,,,,,,,,,,,,,
1986,86Q2,2009-01-01,8.35973,,,,,,,,,,,,,,,,,,,,
1986,86Q3,2009-01-01,8.42488,,,,,,,,,,,,,,,,,,,,
1986,86Q4,2009-01-01,8.4782,,,,,,,,,,,,,,,,,,,,
1987,87Q1,2009-01-01,8.55315,,,,,,,,,,,,,,,,,,,,
1987,87Q2,2009-01-01,8.65998,,,,,,,,,,,,,,,,,,,,
1987,87Q3,2009-01-01,8.71721,,,,,,,,,,,,,,,,,,,,
1987,87Q4,2009-01-01,8.67743,,,,,,,,,,,,,,,,,,,,
1988,88Q1,2009-01-01,8.76252,,,,,,,,,,,,,,,,,,,,
1988,88Q2,2009-01-01,8.84386,,,,,,,,,,,,,,,,,,,,
1988,88Q3,2009-01-01,8.96084,,,,,,,,,,,,,,,,,,,,
1988,88Q4,2009-01-01,9.08011,,,,,,,,,,,,,,,,,,,,
1989,89Q1,2009-01-01,9.24589,,,,,,,,,,,,,,,,,,,,
1989,89Q2,2009-01-01,9.36676,,,,,,,,,,,,,,,,,,,,
1989,89Q3,2009-01-01,9.44201,,,,,,,,,,,,,,,,,,,,
1989,89Q4,2009-01-01,9.48746,,,,,,,,,,,,,,,,,,,,
1990,90Q1,2009-01-01,9.51577,,,,,,,,,,,,,,,,,,,,
1990,90Q2,2009-01-01,9.44768,,,,,,,,,,,,,,,,,,,,
1990,90Q3,2009-01-01,9.48294,,,,,,,,,,,,,,,,,,,,
1990,90Q4,2009-01-01,9.41602,,,,,,,,,,,,,,,,,,,,
1991,91Q1,2009-01-01,9.35937,,,,,,,,,,,,,,,,,,,,
1991,91Q2,2009-01-01,9.34674,,,,,,,,,,,,,,,,,,,,
