Year,Quarter/Year,Date,Gross Metro Product,Total Households,Total Population,Total Real Personal Income,Disposable Real Pers Income,Persons Per Household,Res SF Permits,Res MF Permits,Total Res Permits,Employment Tot Non Agric,Total Employed,CPI Index,Fla - Gross State Product,Fla - Nbr of Households,Fla - Total Population,Fla -Total Real Personal Income,Fla - Dis Real Personal Income,Fla Total RealPers Inc per Hsld,Fla - Emplymt Tot NonAgricultur,Fla - Tot Resid Permits,Fla - Persons Per Hsld
1980,80Q1,2008-07-01,6.90358,113.91602,324.07529,,,2.844861416331083,2495.7151,1575.9137,4071.6287,117.33738,,79.31405,199.14636,3730.7859,9737.1064,,,,3528.7813,167978.42,2.609934384066371
1980,80Q2,2008-07-01,7.01172,115.24792,324.07529,,,2.811983851856068,1946.5386,1324.3649,3270.9033,118.1415,,82.05959,201.64905,3780.4336,9840.5,,,,3553.8799,135945.39,2.603008289842732
1980,80Q3,2008-07-01,7.16169,116.42457,324.07529,,,2.783564414281281,2976.9888,1850.4351,4827.4238,119.4054,,83.54187,205.75206,3823.9795,9937.9004,,,,3598.2385,198850.41,2.598837258411035
1980,80Q4,2008-07-01,7.38728,117.47038,324.07529,,,2.75878302257982,2844.7578,1849.2864,4694.0439,122.06296,,85.70009,212.23289,3862.1604,10028.888,,,,3645.1238,194213.8,2.596704165886015
1981,81Q1,2008-07-01,7.58941,118.42653,332.98154,,,2.811714064407696,1922.5325,1370.7137,3293.2461,124.31329,,88.13989,218.32768,3896.4551,10113.749,,,,3691.9714,176586.59,2.595628267344849
1981,81Q2,2008-07-01,7.76422,119.33418,332.98154,,,2.79032830325729,1756.5583,1294.8639,3051.4224,126.08822,,90.04692,222.3819,3928.3428,10192.77,,,,3742.0393,164176.8,2.594674273334802
1981,81Q3,2008-07-01,7.81373,120.22626,332.98154,,,2.769624040538232,1397.8701,1042.9342,2440.8044,125.2489,,92.11929,225.77972,3959.1042,10266.474,,,,3762.2295,131484.84,2.593130536953284
1981,81Q4,2008-07-01,7.88742,121.10265,332.98154,,,2.749580954669448,1171.0389,907.48828,2078.5273,124.69038,,93.96341,229.36253,3989.2295,10336.338,,,,3770.1179,112403.77,2.591061256315286
1982,82Q1,2008-07-01,7.91278,121.95496,339.93307,,,2.787365679919866,1023.5685,985.33447,2008.9031,123.19273,,95.09257,232.73781,4019.0098,10404.078,,,,3769.78,86360.461,2.588716753066887
1982,82Q2,2008-07-01,7.85748,122.77481,339.93307,,,2.768752564145691,1097.2175,1127.3411,2224.5586,120.49258,,95.98862,237.39964,4048.7371,10471.41,,,,3764.918,95435.938,2.586339824336828
1982,82Q3,2008-07-01,7.76473,123.5603,339.93307,,,2.751151219283216,1212.1998,1218.8177,2431.0176,118.20977,,97.59468,240.59697,4078.6543,10539.719,,,,3762.2107,104364.14,2.584116775967014
1982,82Q4,2008-07-01,7.71333,124.33539,339.93307,,,2.734000914783795,1615.0139,1376.5061,2991.52,118.10038,,97.99233,243.53185,4108.8096,10609.071,,,,3772.2615,129091.47,2.582030328200168
