Year,Quarter/Year,Date,Gross Metro Product,Total Households,Total Population,Total Real Personal Income,Disposable Real Pers Income,Persons Per Household,Res SF Permits,Res MF Permits,Total Res Permits,Employment Tot Non Agric,Total Employed,CPI Index,Fla - Gross State Product,Fla - Nbr of Households,Fla - Total Population,Fla -Total Real Personal Income,Fla - Dis Real Personal Income,Fla Total RealPers Inc per Hsld,Fla - Emplymt Tot NonAgricultur,Fla - Tot Resid Permits,Fla - Persons Per Hsld
1980,80Q1,2024-03-01,9.25572,114.59001,321.12639,7435.3352,6575.3028,2.802394292486754,2495.715,1511.2239,4006.9389,116.97489,116.97489,78.51432,280.70416,3752.7872,9737.1064,250575.92,222178.07,66.7706178490483,3542.9031,164629.22,2.59463323686459
1980,80Q2,2024-03-01,9.19761,115.68008,324.07528,7589.4441,6643.0821,2.801478698839074,1946.5386,970.67,2917.2086,117.79771,117.79771,81.25055,278.68506,3794.8007,9840.5,253596.31,224114.27,66.82730663562911,3568.1022,117633.44,2.593153311055308
1980,80Q3,2024-03-01,9.34342,116.78589,326.67467,7732.7867,6790.7439,2.797210091047814,2976.9888,1804.5607,4781.5496,119.33895,119.33895,82.78262,281.62297,3836.1565,9937.9004,258426.53,228398.87,67.36600292506314,3612.6385,196475.34,2.590587844891104
1980,80Q4,2024-03-01,9.63697,117.80462,328.97125,7920.1087,6963.4673,2.792515692508494,2844.7576,2313.5453,5158.303,121.96869,121.96869,85.15288,287.89012,3873.4206,10028.888,263466.29,232877.68,68.01902432181002,3659.7111,218250.05,2.589155435379262
1981,81Q1,2024-03-01,9.89302,118.81218,331.04643,7688.7601,6994.4421,2.786300444954381,1922.5325,963.96564,2886.4981,123.82773,123.82773,87.70145,297.16034,3909.2824,10113.749,266576.21,235720.46,68.19057379942673,3706.7463,149443.73,2.587111383920486
1981,81Q2,2024-03-01,9.87826,119.85635,332.98155,7734.046,7007.8803,2.77817195334248,1756.5584,1453.6484,3210.2069,125.67161,125.67161,89.53458,297.01849,3945.4862,10192.77,270172.18,238852.41,68.47627042771053,3757.0148,174772.71,2.583400241014656
1981,81Q3,2024-03-01,9.96284,120.78791,334.84212,7910.5214,7087.0378,2.772149298717066,1397.8701,1199.8034,2597.6735,125.26509,125.26509,91.7418,298.36207,3977.4311,10266.474,277049.56,244381.72,69.65540144743174,3777.2857,141952.94,2.581182110231903
1981,81Q4,2024-03-01,9.87816,121.70809,336.63014,7837.685,6940.2536,2.76588138060502,1171.039,998.58254,2169.6215,124.7173,124.7173,93.81956,296.0037,4009.037,10336.338,275670.34,242593.27,68.76223392300945,3785.2056,118482.62,2.57825956707309
1982,82Q1,2024-03-01,9.66505,122.55047,338.33174,7656.4085,6890.3381,2.760754324320421,1023.5687,763.18464,1786.7533,122.54764,122.54764,94.92144,295.45305,4038.575,10404.078,278012.45,243659.51,68.83924404028649,3784.8661,77420.676,2.576175507450029
1982,82Q2,2024-03-01,9.59556,123.22389,339.93308,7664.7568,6782.4506,2.758662139297826,1097.2175,1187.6169,2284.8344,120.01078,120.01078,95.67485,299.21078,4063.5959,10471.41,278034.3,242096.38,68.42075512478985,3779.985,97861.549,2.576882706275001
1982,82Q3,2024-03-01,9.47986,123.85137,341.43627,7810.7877,6820.4638,2.756822714193634,1212.1999,1209.9478,2422.1477,118.42589,118.42589,97.47112,301.64004,4088.3794,10539.719,279503.88,244742.32,68.36544573138198,3777.2667,104007.18,2.577969891933219
1982,82Q4,2024-03-01,9.46159,124.45004,342.90745,7684.7771,6805.8995,2.755382400841333,1615.014,1547.2507,3162.2647,118.20026,118.20026,98.08104,306.66542,4112.7633,10609.071,279958.6,246358.68,68.07068133485825,3787.3576,135962.58,2.579548159263141
1983,83Q1,2024-03-01,9.47752,124.95434,344.42868,8064.5268,7129.5378,2.756436311055702,1864.6109,1155.9327,3020.5436,117.94545,117.94545,98.08277,310.29589,4133.5916,10679.202,289707.47,257368.79,70.0861376823003,3813.9837,150117.04,2.583516475115732
1983,83Q2,2024-03-01,9.6687,125.5597,346.08213,8040.4592,7254.2961,2.756315362333615,2098.0543,1819.6458,3917.7001,119.18173,119.18173,99.23919,322.63502,4156.348,10749.85,294154.71,262481.06,70.7723968252899,3886.1757,194734.95,2.586369091327291
1983,83Q3,2024-03-01,9.90799,126.33734,347.93039,7932.0112,7312.2539,2.753979069054327,2026.8468,2070.8535,4097.7003,121.46393,121.46393,100.25109,329.59569,4182.5442,10820.867,296359.86,267470.09,70.85636058550199,3964.7232,203698.02,2.587149467541789
1983,83Q4,2024-03-01,10.18903,127.33024,349.95821,8131.831,7447.0645,2.748429673893649,2066.4881,2105.5679,4172.056,123.64481,123.64481,101.16099,337.22527,4213.9811,10892.587,303403.9,274056.12,71.99934997335419,4043.6181,207394.01,2.58486849881695
1984,84Q1,2024-03-01,10.3734,128.49144,352.13078,8248.594,7516.1534,2.740499911900746,2206.4701,1443.0089,3649.4789,125.73339,125.73339,102.31935,343.83497,4249.5806,10965.458,308366.43,279335.42,72.5639678419089,4128.2085,222818.94,2.580362400939048
1984,84Q2,2024-03-01,10.55622,129.80888,354.41333,8371.559,7603.7558,2.730270302000911,2014.5106,1487.2618,3501.7724,127.28746,127.28746,103.38991,351.78643,4289.5269,11039.93,313413.47,284188.44,73.06481048061501,4198.5862,216061.44,2.57369408267378
1984,84Q3,2024-03-01,10.57681,131.15149,356.76879,8545.492,7736.6189,2.720280112715456,1831.7597,1238.429,3070.1887,128.16857,128.16857,104.30115,357.14568,4329.986,11116.27,319806.21,289275.24,73.85848591658265,4263.6474,187989.3,2.567276199045447
1984,84Q4,2024-03-01,10.57284,132.3954,359.15084,8725.8737,7853.5162,2.71271388582987,1823.2597,1307.3003,3130.56,129.2005,129.2005,105.10728,360.73107,4367.3107,11194.014,326136.98,293763.13,74.67684403585025,4319.1335,192666.28,2.563136623185522
1985,85Q1,2024-03-01,10.71994,133.6339,361.51077,8667.6141,7795.492,2.705232504626446,2052.6763,995.49547,3048.1718,131.65119,131.65119,105.73254,364.94534,4404.9791,11272.513,328850.78,292699.36,74.65433377425107,4367.9685,196447.97,2.559038929378803
1985,85Q2,2024-03-01,10.73301,134.8512,363.79994,8794.4766,7988.6875,2.697787932180062,1996.9088,1048.7096,3045.6184,132.57122,132.57122,106.79173,370.42806,4442.7603,11351.12,333535.88,300935.23,75.07402098645746,4415.187,198522.07,2.554970161230621
1985,85Q3,2024-03-01,10.85776,136.0413,365.98197,8896.6175,7960.2522,2.690226938437077,2086.9949,1141.7747,3228.7696,133.04229,133.04229,107.61769,376.65456,4480.7554,11429.403,336937.56,300745.2,75.1965974308707,4454.3577,211702.96,2.550775924970151
1985,85Q4,2024-03-01,11.07405,137.17211,368.06974,9056.7503,8052.6821,2.683269507190638,2083.42,1058.0203,3141.4403,134.50021,134.50021,108.40391,381.53573,4517.892,11507.797,342302.38,305052.11,75.76595013780764,4498.915,203787.03,2.547160711234355
1986,86Q1,2024-03-01,11.03558,138.2379,370.08835,9035.6922,8179.3871,2.677184404566331,2051.51,817.41057,2868.9206,133.00253,133.00253,108.67543,386.38684,4553.8743,11586.949,348669.58,311212.65,76.56548183598304,4546.8228,199792.46,2.544415641863456
1986,86Q2,2024-03-01,11.08529,139.23112,372.06295,9229.2176,8296.018,2.672268599146513,2202.639,754.7928,2957.4318,133.17868,133.17868,108.34258,390.295,4588.6291,11667.51,355413.6,316872.92,77.45529051367433,4593.2414,200336.94,2.542700607464656
1986,86Q3,2024-03-01,11.31086,140.19919,374.02,9361.67,8327.3436,2.667775755337816,2144.3085,695.40175,2839.7103,134.84681,134.84681,108.8009,395.62562,4623.2185,11749.822,358016.48,318814.18,77.43879723616783,4649.5228,190484.98,2.541481005061733
1986,86Q4,2024-03-01,11.43075,141.14291,375.99137,9397.4568,8318.3459,2.663905469994915,2161.5425,696.39488,2857.9374,135.94811,135.94811,109.45323,401.28569,4657.2335,11833.011,359068.61,319294.5,77.09912118428247,4707.7755,191485.63,2.540781131115715
