Year,Quarter/Year,Date,Gross Metro Product,Total Households,Total Population,Total Real Personal Income,Disposable Real Pers Income,Persons Per Household,Res SF Permits,Res MF Permits,Total Res Permits,Employment Tot Non Agric,Total Employed,CPI Index,Fla - Gross State Product,Fla - Nbr of Households,Fla - Total Population,Fla -Total Real Personal Income,Fla - Dis Real Personal Income,Fla Total RealPers Inc per Hsld,Fla - Emplymt Tot NonAgricultur,Fla - Tot Resid Permits,Fla - Persons Per Hsld
1980,80Q1,2014-09-01,7.89147,113.91428,321.12637,,,2.819017685930157,2495.7151,1511.2239,4006.939,117.20554,125.70387,79.40052,257.32932,3730.7859,9737.1064,,,,3523.3171,164629.22,2.609934384066371
1980,80Q2,2014-09-01,7.9452,115.24792,324.07529,,,2.811983851856068,1946.5386,970.66998,2917.2085,118.008,124.74565,82.13436,258.60486,3780.4336,9840.5,,,,3548.3767,117633.44,2.603008289842732
1980,80Q3,2014-09-01,8.03081,116.42616,326.67465,,,2.805852653733491,2976.989,1804.5607,4781.5498,119.42498,126.92233,83.61086,261.22986,3823.9795,9937.9004,,,,3592.6667,196475.34,2.598837258411035
1980,80Q4,2014-09-01,8.18442,117.47243,328.97125,,,2.800412403148552,2844.7578,2313.5454,5158.3032,122.00122,129.12234,85.76058,266.38931,3862.1604,10028.888,,,,3639.4792,218250.05,2.596704165886015
1981,81Q1,2014-09-01,8.31238,118.42782,331.04642,,,2.795343357667143,1922.5325,963.96564,2886.498,124.19325,114.06963,88.18947,271.79889,3896.4551,10113.749,,,,3686.2542,149443.73,2.595628267344849
1981,81Q2,2014-09-01,8.41126,119.33419,332.98154,,,2.790328069432574,1756.5583,1453.6484,3210.2068,125.94922,114.84466,90.08838,274.69226,3928.3428,10192.77,,,,3736.2449,174772.72,2.594674273334802
1981,81Q3,2014-09-01,8.37054,120.22549,334.8421,,,2.785117365710051,1397.8701,1199.8035,2597.6736,125.29355,114.37597,92.15221,274.21899,3959.1042,10266.474,,,,3756.4036,141952.94,2.593130536953284
1981,81Q4,2014-09-01,8.34915,121.10176,336.63013,,,2.779729460579268,1171.0389,998.58258,2169.6216,124.57985,112.35178,93.98907,273.53738,3989.2295,10336.338,,,,3764.2795,118482.62,2.591061256315286
1982,82Q1,2014-09-01,8.27653,121.95441,338.33176,,,2.774247852127692,1023.5686,763.18469,1786.7533,123.09489,132.6217,95.11314,277.19754,4019.0098,10404.078,,,,3763.9421,77420.672,2.588716753066887
1982,82Q2,2014-09-01,8.12006,122.77481,339.93307,,,2.768752564145691,1097.2175,1187.6169,2284.8345,120.37016,130.45061,96.00536,278.83337,4048.7371,10471.41,,,,3759.0879,97861.547,2.586339824336828
1982,82Q3,2014-09-01,7.99156,123.56074,341.43628,,,2.763307179934339,1212.1998,1209.9479,2422.1477,118.24574,129.58559,97.60455,280.63855,4078.6543,10539.719,,,,3756.3848,104007.19,2.584116775967014
1982,82Q4,2014-09-01,7.97488,124.33593,342.90744,,,2.757911088130358,1615.0139,1547.2509,3162.2646,117.97415,130.60588,98.00086,284.24185,4108.8096,10609.071,,,,3766.4199,135962.58,2.582030328200168
1983,83Q1,2014-09-01,7.94923,125.13082,344.42868,,,2.752548732598412,1864.6108,1155.9327,3020.5435,117.57446,125.18392,98.19905,285.85214,4139.2021,10679.202,,,,3792.8987,150117.03,2.580014636154151
1983,83Q2,2014-09-01,8.06749,125.97604,346.08212,,,2.747205897248397,2098.0542,1819.646,3917.7002,119.29913,127.21484,99.24403,294.72845,4169.8315,10749.85,,,,3864.6917,194734.95,2.578005849876668
1983,83Q3,2014-09-01,8.29494,126.89524,347.93039,,,2.741871089884853,2026.8468,2070.8538,4097.7002,122.14523,129.5145,100.16616,299.35349,4200.7222,10820.867,,,,3942.8049,203698.02,2.575953963344684
1983,83Q4,2014-09-01,8.47503,127.88351,349.95819,,,2.736538823496478,2066.4878,2105.5681,4172.0562,123.77161,130.63805,101.14879,306.44077,4231.9956,10892.587,,,,4021.2637,207394.0,2.573865388706926
1984,84Q1,2014-09-01,8.66704,128.92876,352.13077,,,2.731204193695805,2206.4702,1443.0087,3649.4788,125.57548,144.69122,102.27306,312.86841,4263.7988,10965.458,,,,4105.3862,222818.94,2.571757841856891
1984,84Q2,2014-09-01,8.86469,130.01878,354.41333,,,2.72586260231022,2014.5107,1487.2616,3501.7725,127.47733,144.27158,103.23176,319.54355,4296.2793,11039.93,,,,4175.375,216061.44,2.569649044930575
1984,84Q3,2014-09-01,8.99573,131.14041,356.7688,,,2.720510024331936,1831.7598,1238.4288,3070.1885,128.58913,144.89223,104.03103,325.00977,4329.5181,11116.27,,,,4240.0767,187989.3,2.56755364990852
1984,84Q4,2014-09-01,9.08923,132.27647,359.15085,,,2.715152967115013,1823.2598,1307.3002,3130.5601,129.33781,146.06003,104.8903,328.95883,4363.3389,11194.014,,,,4295.2559,192666.28,2.565469759866693
1985,85Q1,2014-09-01,9.29686,133.40869,361.51077,,,2.709799264200855,2052.676,995.49554,3048.1716,131.72011,150.11978,105.55085,331.94193,4397.4985,11272.513,,,,4343.8208,196447.97,2.563392119406067
1985,85Q2,2014-09-01,9.41236,134.51865,363.79996,,,2.704457411667453,1996.9086,1048.7097,3045.6182,132.79373,146.48305,106.48019,337.61972,4431.7554,11351.12,,,,4390.7788,198522.06,2.56131464295164
1985,85Q3,2014-09-01,9.48522,135.59241,365.98199,,,2.699133306945426,2086.9946,1141.7748,3228.7693,133.20285,148.07314,107.20776,341.08392,4465.9492,11429.403,,,,4429.7324,211702.97,2.559232648683062
1985,85Q4,2014-09-01,9.63898,136.63461,368.06976,,,2.693825232128229,2083.4199,1058.0204,3141.4402,134.67097,148.81639,108.02975,345.30225,4500.2476,11507.797,,,,4474.0435,203787.03,2.557147522282996
1986,86Q1,2014-09-01,9.58858,137.65456,370.08835,,,2.688529533638406,2051.5098,817.41052,2868.9204,133.29271,146.24594,108.37479,348.78751,4534.8984,11586.949,,,,4521.686,199792.45,2.555062534587324
1986,86Q2,2014-09-01,9.64444,138.66159,372.06296,,,2.683244581285993,2202.6387,754.79279,2957.4316,133.40005,146.15186,107.9425,350.49948,4570.1519,11667.51,,,,4567.8477,200336.94,2.552980788231569
1986,86Q3,2014-09-01,9.77275,139.66568,374.02002,,,2.677966555563256,2144.3083,695.40173,2839.71,134.72882,148.00494,108.34898,354.97208,4606.1396,11749.822,,,,4623.8188,190484.98,2.550904449357114
