Year,Quarter/Year,"GrossMetroProduct_Gross Metro Product: Total, (Bil. Chained 2017 $- SAAR)",GrossMetroProduct_% Change Between ,GrossMetroProduct_Dec,"TotalHouseholds_Number of Households, (Ths.)",TotalHouseholds_% Change Between ,TotalHouseholds_TY's Fcst,TotalPopulation_Total Population- (Ths. #- NSA),TotalPopulation_% Change Between ,TotalPopulation_TY's Fcst,TotalRealPersonalIncome_Income: Total Personal- (Mil. 2017 $- SAAR),TotalRealPersonalIncome_% Change Between ,TotalRealPersonalIncome_TY's Fcst,DisposableRealPersIncome_ Disposable Personal Income- (Mil. Ch. 2017 USD- SAAR),DisposableRealPersIncome_% Change Between ,DisposableRealPersIncome_TY's Fcst,PersonsPerHousehold_Persons per Household,PersonsPerHousehold_% Change Between ,PersonsPerHousehold_TY's Fcst,ResSFPermits_Permits: Residential - Single-Family- (#- SAAR),ResSFPermits_% Change Between ,ResSFPermits_TY's Fcst,ResMFPermits_Permits: Residential - Multifamily- (#- SAAR),ResMFPermits_% Change Between ,ResMFPermits_TY's Fcst,TotalResPermits_Permits: Residential - Total- (#- SAAR),TotalResPermits_% Change Between ,TotalResPermits_TY's Fcst,"ExistingSFHomeSales_Existing Single-Family Home Sales, (Ths., SAAR)",ExistingSFHomeSales_% Change Between ,"EmploymentTotNonAgric_Employment: Total Non-Agricultural, (Ths., SA)",EmploymentTotNonAgric_% Change Between ,EmploymentTotNonAgric_TY's Fcst,"TotalEmployed_Household Survey: Total Employed, (Ths., SA)",TotalEmployed_% Change Between ,TotalEmployed_TY's Fcst,"CPIIndex_CPI: Total - All Urban Consumers, (Index 1982-84=100, SA)",CPIIndex_% Change Between ,CPIIndex_TY's Fcst,FlaGrossStateProduct_Total- (Bil. Ch. 2017 USD- SAAR),FlaGrossStateProduct_% Change Between ,FlaGrossStateProduct_TY's Fcst,"FlaNbrOfHouseholds_ Households, (Ths., #)",FlaNbrOfHouseholds_% Change Between ,FlaNbrOfHouseholds_TY's Fcst,"FlaTotalPopulation_ Population: Total, (Ths., #)",FlaTotalPopulation_% Change Between ,FlaTotalPopulation_TY's Fcst,FlaTotalRealPersonalIncome_ Real Personal Income- (Mil. Ch. 2017 USD- SAAR),FlaTotalRealPersonalIncome_% Change Between ,FlaTotalRealPersonalIncome_TY's Fcst,FlaDisRealPersonalIncome_Disposable Personal Income- (Mil.  2017$- SAAR),FlaDisRealPersonalIncome_% Change Between ,FlaDisRealPersonalIncome_TY's Fcst,FlaTotalRealPersIncPerHsld_ Income: Total Personal per Household,FlaTotalRealPersIncPerHsld_% Change Between ,FlaTotalRealPersIncPerHsld_TY's Fcst,"FlaEmplymtTotNonAgricultur_ Employment: Total Nonagricultural, (Ths., SA)",FlaEmplymtTotNonAgricultur_% Change Between ,FlaEmplymtTotNonAgricultur_TY's Fcst,"FlaTotResidPermits_ Permits: Total Residential, (#,  SAAR)",FlaTotResidPermits_3,FlaTotResidPermits_TY's Fcst,FlaPersonsPerHsld_Persons per Household
Year,Quarter/Year,2024-12-17 00:00:00,Data in LY's Fcst vs TY's Fcst, Quarterly % change,2024-12-17 00:00:00,Data in LY's Fcst vs TY's Fcst, Quarterly % change,2024-12-17 00:00:00,Data in LY's Fcst vs TY's Fcst, Quarterly % change,2024-12-17 00:00:00,Data in LY's Fcst vs TY's Fcst, Quarterly % change,2024-12-17 00:00:00,Data in LY's Fcst vs TY's Fcst, Quarterly % change,2024-12-17 00:00:00,Data in LY's Fcst vs TY's Fcst, Quarterly % change,2024-12-17 00:00:00,Data in LY's Fcst vs TY's Fcst, Quarterly % change,2024-12-17 00:00:00,Data in LY's Fcst vs TY's Fcst, Quarterly % change,2024-12-17 00:00:00,Data in LY's Fcst vs TY's Fcst, Quarterly % change,,,2024-12-17 00:00:00,Data in LY's Fcst vs TY's Fcst, Quarterly % change,2024-12-17 00:00:00,Data in LY's Fcst vs TY's Fcst, Quarterly % change,2024-12-17 00:00:00,Data in LY's Fcst vs TY's Fcst, Quarterly % change,2024-12-17 00:00:00,Data in LY's Fcst vs TY's Fcst, Quarterly % change,2024-12-17 00:00:00,Data in LY's Fcst vs TY's Fcst, Quarterly % change,2024-12-17 00:00:00,Data in LY's Fcst vs TY's Fcst, Quarterly % change,2024-12-17 00:00:00,Data in LY's Fcst vs TY's Fcst, Quarterly % change,2024-12-17 00:00:00,Data in LY's Fcst vs TY's Fcst, Quarterly % change,2024-12-17 00:00:00,Data in LY's Fcst vs TY's Fcst, Quarterly % change,2024-12-17 00:00:00,Data in LY's Fcst vs TY's Fcst, Quarterly % change,2024-12-17 00:00:00,% Change Between Data in LY's Fcst vs TY Fcst, Quarterly % change,2024-12-17 00:00:00
1980,80Q1,9.28711,0.003391416334979886,,114.59001,0,,321.12639,0,,7435.3352,-8.503264706298198e-05,,6575.3028,-4.305319773856947e-05,,2.802394292486754,0,,2495.715,0,,1511.2239,0,,4006.9389,0,,ND,,116.97489,0,,116.97489,0,,78.51432,0,,283.21114,0.00893078811103062,,3752.7872,0,,9737.1064,0,,250575.92,0,,222178.07,3.600716705390041e-07,,66.7706178490483,0,,3542.9031,0.0055324814748349,,164629.22,0,,2.59463323686459
1980,80Q2,9.22112,0.002555008795753716,-0.007105547366188117,115.68008,0,0.009512783880549422,324.07528,0,0.009182957526474252,7589.4441,-0.0001143167794504431,0.02072655715642776,6643.0821,-7.07302358738296e-05,0.01030816405899957,2.801478698839074,0,-0.000326718352993429,1946.5386,0,-0.2200477217951569,970.67,0,-0.3576927945620765,2917.2086,0,-0.2719607978050277,ND,,117.79771,0,0.00703415921143412,117.79771,0,0.00703415921143412,81.25055,0,0.03485007575688111,280.8842,0.007890768205956949,-0.008216272848589145,3794.8007,0,0.01119527907151239,9840.5,0,0.01061851393551573,253596.31,0,0.01205379192062823,224114.27,1.784804114359237e-07,0.008714631466552852,66.82730663562911,0,0.0008490079679802603,3568.1022,0.00553249663664928,0.007112556931065887,117633.44,0,-0.2854643908292829,2.593153311055308
1980,80Q3,9.36459,0.002264692944668079,0.01555884751526917,116.78589,0,0.00955920846527761,326.67467,0,0.008020945010060536,7732.7867,-3.272969059332967e-05,0.01888710136227236,6790.7439,-7.147454143531454e-05,0.02222790532725778,2.797210091047814,0,-0.0015236981073706,2976.9888,0,0.5293756825577464,1804.5607,0,0.8590877435173644,4781.5496,0,0.6390838831340345,ND,,119.33895,0,0.01308378575440899,119.33895,0,0.01308378575440899,82.78262,0,0.01885611851242841,283.73761,0.007508547862722694,0.01015867037020949,3836.1565,0,0.01089801633060737,9937.9004,0,0.009897911691479137,258426.53,0,0.01904688597401122,228398.87,1.313491784758445e-07,0.01911792586879901,67.36600292506314,0,0.008061020510241865,3612.6385,0.005532513082207086,0.01248178933888166,196475.34,0,0.6702337362573091,2.590587844891104
1980,80Q4,9.65903,0.002288061197595111,0.03144184635953094,117.80462,0,0.008723057211791639,328.97125,0,0.007030174699495391,7920.1087,0.0001369739503251195,0.02422438472278049,6963.4673,-1.927163695388221e-05,0.02543512206372557,2.792515692508494,0,-0.00167824310170477,2844.7576,0,-0.0444177687198555,2313.5453,0,0.282054574279491,5158.303,0,0.07879315943935823,ND,,121.96869,0,0.0220358902101954,121.96869,0,0.0220358902101954,85.15288,0,0.02863233852709665,290.01817,0.007392617546061311,0.02213509869206264,3873.4206,0,0.009713915477640151,10028.888,0,0.009155616009192484,263466.29,0,0.01950171292397874,232877.68,2.576460546001445e-07,0.0196095978933696,68.01902432181002,0,0.009693634302057228,3659.7111,0.005532486318732956,0.01302997795101834,218250.05,0,0.1108266818624668,2.589155435379262
1981,81Q1,9.91518,0.002238950048670619,0.02651922605064897,118.81218,0,0.00855280548419916,331.04643,0,0.006308089232721671,7688.7601,0.000293306232678736,-0.02921028091445252,6994.4421,7.625206665549512e-05,0.004448186322351217,2.786300444954381,0,-0.002225680439607551,1922.5325,0,-0.3241840710786746,963.96564,0,-0.5833383335956293,2886.4981,0,-0.4404171100456875,2.9063,0.001896028681742988,123.82773,0,0.01524194446951925,123.82773,0,0.01524194446951925,87.70145,0,0.02992934590116034,299.29417,0.007179583786118657,0.03198420292080324,3909.2824,0,0.009258431681806033,10113.749,0,0.008461655968238847,266576.21,0,0.01180386302930839,235720.46,2.969620064597767e-07,0.01220718104027831,68.19057379942673,0,0.002522080834401223,3706.7463,0.005532516364757831,0.01285216201901833,149443.73,0,-0.3152637078433658,2.587111383920486
1981,81Q2,9.90008,0.002207876480395892,-0.001522917385261645,119.85635,0,0.008788408730485446,332.98155,0,0.005845464033549737,7734.046,0.0004449586372670367,0.005889883337626811,7007.8803,0.0002148900200840677,0.001921268316739601,2.77817195334248,0,-0.002917306217504228,1756.5584,0,-0.0863309722982577,1453.6484,0,0.507987774336023,3210.2069,0,0.1121458559075443,2.68201,0.001968812809611649,125.67161,0,0.01489068724751716,125.67161,0,0.01489068724751716,89.53458,0,0.02090193491669763,299.11135,0.00704632971297478,-0.0006108371573024374,3945.4862,0,0.009260983550331328,10192.77,0,0.007813225343045457,270172.18,0,0.0134894632945677,238852.41,3.768018665111042e-07,0.01328671257471673,68.47627042771053,0,0.00418967919413817,3757.0148,0.005532494536436485,0.01356135433385342,174772.71,0,0.1694884087810173,2.583400241014656
1981,81Q3,9.9825,0.001971321488006533,0.008325185251028178,120.78791,0,0.007772304095694474,334.84212,0,0.005587606880921767,7910.5214,0.0005287528140861575,0.02281799203159631,7087.0378,0.0003543920383902286,0.01129549829782342,2.772149298717066,0,-0.002167848040568176,1397.8701,0,-0.2041994732426772,1199.8034,0,-0.1746261338023693,2597.6735,0,-0.1908080753299733,2.47097,0.002157646056820623,125.26509,0,-0.003234779915686609,125.26509,0,-0.003234779915686609,91.7418,0,0.0246521511576867,300.40342,0.006842394861998167,0.004319695658489612,3977.4311,0,0.008096568681446653,10266.474,0,0.00723100786145471,277049.56,0,0.02545554468265387,244381.72,3.682764534981927e-07,0.02314948381722419,69.65540144743174,0,0.01721955667790061,3777.2857,0.005532512846789226,0.005395480475615902,141952.94,0,-0.1877854385847767,2.581182110231903
1981,81Q4,9.89266,0.001465857070836828,-0.008999749561733092,121.70809,0,0.007618146551256678,336.63014,0,0.005339889736691311,7837.685,0.0005384972147772651,-0.009207534663897026,6940.2536,0.0004541953738959072,-0.02071164344572849,2.76588138060502,0,-0.002261031941875029,1171.039,0,-0.1622690835149848,998.58254,0,-0.167711526738464,2169.6215,0,-0.1647828335624164,2.11072,0.002127013065937424,124.7173,0,-0.004373045993899867,124.7173,0,-0.004373045993899867,93.81956,0,0.02264790967694113,297.9409,0.006544716814968831,-0.008197376714286355,4009.037,0,0.007946309868196088,10336.338,0,0.006805062770333765,275670.34,0,-0.004978242881887169,242593.27,2.473276148069919e-07,-0.00731826423023789,68.76223392300945,0,-0.01282265992101647,3785.2056,0.005532519293819177,0.002096717227399524,118482.62,0,-0.1653387383170789,2.57825956707309
1982,82Q1,9.67483,0.001009821967145607,-0.02201935576477907,122.55047,0,0.006921314762231547,338.33174,0,0.005054805847153323,7656.4085,0.0005498287283640944,-0.02312883204670778,6890.3381,0.0005162642927589672,-0.007192172343673445,2.760754324320421,0,-0.001853679019118719,1023.5687,0,-0.1259311602773263,763.18464,0,-0.2357320407384652,1786.7533,0,-0.1764677387276998,1.91661,0.002557905969493356,122.54764,0,-0.01739662420530266,122.54764,0,-0.01739662420530266,94.92144,0,0.0117446724329128,297.32173,0.006324761029721637,-0.002078163823765038,4038.575,0,0.007367854175454109,10404.078,0,0.006553578259534449,278012.45,0,0.008496053655971787,243659.51,8.208176097974453e-08,0.004395175513319144,68.83924404028649,0,0.001119947867942545,3784.8661,0.005532484019305252,-8.969129708557678e-05,77420.676,0,-0.3465651249103032,2.576175507450029
