ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2000-01-01,308.859012,150.0509468625489,368.9535200974922,308.859012,308.859012,-53.01681606477002,-53.01681606477002,-53.01681606477002,-15.25163623731003,-15.25163623731003,-15.25163623731003,-37.76517982745998,-37.76517982745998,-37.76517982745998,0.0,0.0,0.0,255.84219593523
2000-01-02,308.86075099015386,135.06980214734457,356.4186455219265,308.86075099015386,308.86075099015386,-54.10002017325316,-54.10002017325316,-54.10002017325316,-17.074125446486587,-17.074125446486587,-17.074125446486587,-37.025894726766566,-37.025894726766566,-37.025894726766566,0.0,0.0,0.0,254.76073081690072
2000-01-03,308.8624899803077,172.29958209529846,389.53949180033203,308.8624899803077,308.8624899803077,-31.107408425066403,-31.107408425066403,-31.107408425066403,5.07643359491149,5.07643359491149,5.07643359491149,-36.1838420199779,-36.1838420199779,-36.1838420199779,0.0,0.0,0.0,277.7550815552413
2000-01-04,308.86422897046157,177.45909997792262,391.8667801762071,308.86422897046157,308.86422897046157,-26.5389790637575,-26.5389790637575,-26.5389790637575,8.713815014831805,8.713815014831805,8.713815014831805,-35.2527940785893,-35.2527940785893,-35.2527940785893,0.0,0.0,0.0,282.3252499067041
2000-01-05,308.8659679606154,168.6176839407361,390.67873768745415,308.8659679606154,308.8659679606154,-24.870999613961185,-24.870999613961185,-24.870999613961185,9.378677292945873,9.378677292945873,9.378677292945873,-34.24967690690706,-34.24967690690706,-34.24967690690706,0.0,0.0,0.0,283.9949683466542
2000-01-06,308.8677069507692,173.40895489652118,398.18498387295773,308.8677069507692,308.8677069507692,-25.307303124681567,-25.307303124681567,-25.307303124681567,7.8868138799997425,7.8868138799997425,7.8868138799997425,-33.19411700468131,-33.19411700468131,-33.19411700468131,0.0,0.0,0.0,283.5604038260876
2000-01-07,308.8694459409231,150.50166191363007,390.7470117066764,308.8694459409231,308.8694459409231,-30.837891132087005,-30.837891132087005,-30.837891132087005,1.2700219011514313,1.2700219011514313,1.2700219011514313,-32.10791303323843,-32.10791303323843,-32.10791303323843,0.0,0.0,0.0,278.03155480883606
2000-01-08,308.8711849310769,155.82080878065742,368.1216848824822,308.8711849310769,308.8711849310769,-46.26608329663788,-46.26608329663788,-46.26608329663788,-15.251636237329697,-15.251636237329697,-15.251636237329697,-31.01444705930819,-31.01444705930819,-31.01444705930819,0.0,0.0,0.0,262.60510163443905
2000-01-09,308.8729239212308,151.47470873391737,372.2835469789758,308.8729239212308,308.8729239212308,-47.0121772301804,-47.0121772301804,-47.0121772301804,-17.074125446478384,-17.074125446478384,-17.074125446478384,-29.93805178370201,-29.93805178370201,-29.93805178370201,0.0,0.0,0.0,261.8607466910504
2000-01-10,308.87466291138463,173.64814297571556,386.62870683401184,308.87466291138463,308.87466291138463,-23.826917738493854,-23.826917738493854,-23.826917738493854,5.076433594924637,5.076433594924637,5.076433594924637,-28.90335133341849,-28.90335133341849,-28.90335133341849,0.0,0.0,0.0,285.04774517289076
2000-01-11,308.8764019015385,183.20280758894827,400.4494137593082,308.8764019015385,308.8764019015385,-19.22077885939459,-19.22077885939459,-19.22077885939459,8.71381501483394,8.71381501483394,8.71381501483394,-27.934593874228526,-27.934593874228526,-27.934593874228526,0.0,0.0,0.0,289.6556230421439
2000-01-12,308.87814089169234,183.35013096733738,399.4653242218965,308.87814089169234,308.87814089169234,-17.676317175492812,-17.676317175492812,-17.676317175492812,9.378677292949927,9.378677292949927,9.378677292949927,-27.054994468442736,-27.054994468442736,-27.054994468442736,0.0,0.0,0.0,291.20182371619956
2000-01-13,308.8798798818462,182.40642743828445,398.022494158821,308.8798798818462,308.8798798818462,-18.399292376264103,-18.399292376264103,-18.399292376264103,7.88681387999619,7.88681387999619,7.88681387999619,-26.286106256260286,-26.286106256260286,-26.286106256260286,0.0,0.0,0.0,290.4805875055821
2000-01-14,308.88161887200005,167.56752406194073,395.2815194702623,308.88161887200005,308.88161887200005,-24.377215288797387,-24.377215288797387,-24.377215288797387,1.2700219011437601,1.2700219011437601,1.2700219011437601,-25.647237189941148,-25.647237189941148,-25.647237189941148,0.0,0.0,0.0,284.50440358320265
