ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2000-01-01,308.44254,145.86798546118678,359.01936867326475,308.44254,308.44254,-53.0133066359889,-53.0133066359889,-53.0133066359889,-15.2494943178023,-15.2494943178023,-15.2494943178023,-37.763812318186595,-37.763812318186595,-37.763812318186595,0.0,0.0,0.0,255.4292333640111
2000-01-02,308.44846939397803,145.58123623488135,365.43554502487314,308.44846939397803,308.44846939397803,-54.09750798997668,-54.09750798997668,-54.09750798997668,-17.07339137902246,-17.07339137902246,-17.07339137902246,-37.024116610954216,-37.024116610954216,-37.024116610954216,0.0,0.0,0.0,254.35096140400134
2000-01-03,308.45439878795605,159.1092109809954,385.142767823991,308.45439878795605,308.45439878795605,-31.1056064132784,-31.1056064132784,-31.1056064132784,5.07604628263529,5.07604628263529,5.07604628263529,-36.18165269591369,-36.18165269591369,-36.18165269591369,0.0,0.0,0.0,277.34879237467766
2000-01-04,308.4603281819341,170.78127079317653,391.2397424471259,308.4603281819341,308.4603281819341,-26.537000200711244,-26.537000200711244,-26.537000200711244,8.713194775247969,8.713194775247969,8.713194775247969,-35.25019497595922,-35.25019497595922,-35.25019497595922,0.0,0.0,0.0,281.9233279812228
2000-01-05,308.4662575759121,168.3687412014176,398.24912087437457,308.4662575759121,308.4662575759121,-24.868701183678965,-24.868701183678965,-24.868701183678965,9.377970628161506,9.377970628161506,9.377970628161506,-34.24667181184047,-34.24667181184047,-34.24667181184047,0.0,0.0,0.0,283.5975563922331
2000-01-06,308.4721869698901,172.91091812860668,388.7417471874256,308.4721869698901,308.4721869698901,-25.30460598228957,-25.30460598228957,-25.30460598228957,7.886106359999744,7.886106359999744,7.886106359999744,-33.19071234228931,-33.19071234228931,-33.19071234228931,0.0,0.0,0.0,283.16758098760056
2000-01-07,308.47811636386814,161.75532828372343,397.3843221800772,308.47811636386814,308.47811636386814,-30.834550446688002,-30.834550446688002,-30.834550446688002,1.269567650823971,1.269567650823971,1.269567650823971,-32.10411809751197,-32.10411809751197,-32.10411809751197,0.0,0.0,0.0,277.6435659171801
2000-01-08,308.48404575784616,156.28092978149826,367.0895910108089,308.48404575784616,308.48404575784616,-46.25976849941484,-46.25976849941484,-46.25976849941484,-15.249494317821963,-15.249494317821963,-15.249494317821963,-31.010274181592873,-31.010274181592873,-31.010274181592873,0.0,0.0,0.0,262.2242772584313
2000-01-09,308.4899751518242,152.5885424121866,371.17188561427406,308.4899751518242,308.4899751518242,-47.00690781160166,-47.00690781160166,-47.00690781160166,-17.073391379014257,-17.073391379014257,-17.073391379014257,-29.933516432587393,-29.933516432587393,-29.933516432587393,0.0,0.0,0.0,261.48306734022253
2000-01-10,308.4959045458022,176.37326867290034,394.9568492714785,308.4959045458022,308.4959045458022,-23.82242585807377,-23.82242585807377,-23.82242585807377,5.076046282648436,5.076046282648436,5.076046282648436,-28.898472140722202,-28.898472140722202,-28.898472140722202,0.0,0.0,0.0,284.67347868772845
2000-01-11,308.5018339397802,185.95020002686218,403.1205515704158,308.5018339397802,308.5018339397802,-19.216197808521827,-19.216197808521827,-19.216197808521827,8.713194775250104,8.713194775250104,8.713194775250104,-27.929392583771932,-27.929392583771932,-27.929392583771932,0.0,0.0,0.0,289.2856361312584
2000-01-12,308.50776333375825,177.22422210054927,405.82014122186166,308.50776333375825,308.50776333375825,-17.671525178279484,-17.671525178279484,-17.671525178279484,9.377970628165558,9.377970628165558,9.377970628165558,-27.049495806445044,-27.049495806445044,-27.049495806445044,0.0,0.0,0.0,290.8362381554788
2000-01-13,308.51369272773627,187.40816359315323,397.07953291834326,308.51369272773627,308.51369272773627,-18.394231364366842,-18.394231364366842,-18.394231364366842,7.88610635999619,7.88610635999619,7.88610635999619,-26.280337724363026,-26.280337724363026,-26.280337724363026,0.0,0.0,0.0,290.11946136336945
