Date,Lakeland_population,ln_Lakeland_population
2000-01-01,485.378,6.184927968820781
2001-01-01,491.393,6.197244214971373
2002-01-01,498.428,6.2114591456705
2003-01-01,508.118,6.230713704069422
2004-01-01,521.029,6.255805702392385
2005-01-01,538.638,6.28904373117503
2006-01-01,557.477,6.323421246877857
2007-01-01,573.483,6.351728293584305
2008-01-01,580.282,6.363514192276742
2009-01-01,583.403,6.3688781996898545
2010-01-01,603.119,6.402114523857239
2011-01-01,610.026,6.413501579209845
2012-01-01,615.581,6.4225665372908844
2013-01-01,622.808,6.434238285092501
2014-01-01,634.624,6.453032697532616
2015-01-01,648.823,6.475159952234517
2016-01-01,666.271,6.501696494683132
2017-01-01,685.79,6.530571458411864
2018-01-01,707.095,6.5611650274495705
2019-01-01,724.967,6.586126136577354
2020-01-01,730.158,6.593260949079199
2021-01-01,755.598,6.627509488720728
2022-01-01,788.382,6.669982743967704
2023-01-01,818.33,6.70726567823246
