Date,Lakeland_total_employees,ln_Lakeland_total_employees
2000-01-01,174.8,5.163642463221435
2000-02-01,174.3,5.160777952525975
2000-03-01,175.3,5.1664987919271885
2000-04-01,177.8,5.180659323079804
2000-05-01,179.0,5.187385805840755
2000-06-01,178.9,5.186826990514674
2000-07-01,180.0,5.19295685089021
2000-08-01,182.0,5.204006687076795
2000-09-01,181.1,5.199049364889368
2000-10-01,180.5,5.195730777772936
2000-11-01,180.6,5.196284640982885
2000-12-01,180.8,5.1973914479580765
2001-01-01,180.8,5.1973914479580765
2001-02-01,181.3,5.200153117760806
2001-03-01,181.5,5.201255653704905
2001-04-01,179.8,5.19184512203752
2001-05-01,180.5,5.195730777772936
2001-06-01,180.7,5.196838197598183
2001-07-01,181.0,5.198497031265826
2001-08-01,181.7,5.202356975402125
2001-09-01,181.4,5.200704537681037
2001-10-01,182.0,5.204006687076795
2001-11-01,180.9,5.19794439240125
2001-12-01,180.8,5.1973914479580765
2002-01-01,180.0,5.19295685089021
2002-02-01,179.8,5.19184512203752
2002-03-01,180.1,5.19351225218191
2002-04-01,179.5,5.190175207928333
2002-05-01,180.2,5.194067345174237
2002-06-01,179.8,5.19184512203752
2002-07-01,180.4,5.1951766076285235
2002-08-01,181.2,5.199601393608879
2002-09-01,181.1,5.199049364889368
2002-10-01,180.8,5.1973914479580765
2002-11-01,181.4,5.200704537681037
2002-12-01,180.9,5.19794439240125
2003-01-01,179.7,5.191288793789513
2003-02-01,178.8,5.186267862739414
2003-03-01,179.2,5.18850250054083
2003-04-01,181.3,5.200153117760806
2003-05-01,181.0,5.198497031265826
2003-06-01,181.3,5.200153117760806
2003-07-01,182.0,5.204006687076795
2003-08-01,183.5,5.212214667494625
2003-09-01,184.2,5.216022123821206
2003-10-01,184.8,5.2192741592075835
2003-11-01,185.4,5.2225156531317545
2003-12-01,186.6,5.228967288413243
2004-01-01,189.8,5.245970886175828
2004-02-01,189.7,5.245443876940969
2004-03-01,190.8,5.251225759014186
2004-04-01,191.2,5.2533200006173
2004-05-01,191.9,5.256974403013654
2004-06-01,192.4,5.259576538231606
2004-07-01,193.4,5.264760583019194
2004-08-01,193.2,5.263725921778417
2004-09-01,192.8,5.261653382176445
2004-10-01,195.7,5.27658287440203
2004-11-01,197.6,5.286244785313768
2004-12-01,199.4,5.295312857527738
2005-01-01,200.6,5.301312875527835
2005-02-01,201.9,5.307772525318792
2005-03-01,202.3,5.3097517441737
2005-04-01,203.9,5.31762967758041
2005-05-01,204.3,5.319589501823576
2005-06-01,205.3,5.324472324024888
2005-07-01,206.3,5.329331420077207
2005-08-01,207.6,5.335613151291733
2005-09-01,207.9,5.337057194863967
2005-10-01,208.7,5.340897814083155
2005-11-01,209.5,5.344723739362192
2005-12-01,209.1,5.342812606434588
2006-01-01,209.6,5.345200952446887
2006-02-01,210.0,5.3471075307174685
2006-03-01,211.3,5.353278924622011
2006-04-01,210.1,5.347583607850955
2006-05-01,210.1,5.347583607850955
2006-06-01,210.6,5.349960599699875
2006-07-01,209.8,5.346154695962197
2006-08-01,210.7,5.350435320810143
2006-09-01,210.7,5.350435320810143
2006-10-01,209.5,5.344723739362192
2006-11-01,209.7,5.345677937907874
2006-12-01,209.6,5.345200952446887
2007-01-01,210.4,5.349010480863555
2007-02-01,210.3,5.348535082708654
2007-03-01,210.9,5.351384087484729
2007-04-01,210.8,5.350909816667207
2007-05-01,211.2,5.352805551832106
2007-06-01,211.2,5.352805551832106
2007-07-01,210.4,5.349010480863555
2007-08-01,209.6,5.345200952446887
2007-09-01,209.5,5.344723739362192
2007-10-01,209.5,5.344723739362192
2007-11-01,209.2,5.343290732190768
2007-12-01,209.3,5.343768629451954
2008-01-01,210.0,5.3471075307174685
2008-02-01,210.1,5.347583607850955
2008-03-01,209.9,5.346631226826587
2008-04-01,207.9,5.337057194863967
2008-05-01,207.2,5.333684510385328
2008-06-01,207.3,5.334167019441734
2008-07-01,207.1,5.333201768401539
2008-08-01,206.5,5.330300412401088
2008-09-01,206.3,5.329331420077207
2008-10-01,204.4,5.320078858329549
2008-11-01,203.1,5.313698468586339
2008-12-01,201.9,5.307772525318792
2009-01-01,200.8,5.302309387817574
2009-02-01,199.4,5.295312857527738
2009-03-01,198.8,5.292299294222474
2009-04-01,198.3,5.28978103552575
2009-05-01,197.5,5.285738584341177
2009-06-01,195.7,5.27658287440203
2009-07-01,195.1,5.273512247629066
2009-08-01,194.3,5.269403356383394
2009-09-01,193.2,5.263725921778417
2009-10-01,193.2,5.263725921778417
2009-11-01,192.8,5.261653382176445
2009-12-01,192.3,5.259056652594734
2010-01-01,191.7,5.255931650051599
2010-02-01,192.0,5.2574953720277815
2010-03-01,192.6,5.260615499364025
2010-04-01,191.3,5.253842876446207
2010-05-01,192.8,5.261653382176445
2010-06-01,191.8,5.256453162449338
2010-07-01,191.3,5.253842876446207
2010-08-01,190.9,5.251749730731702
2010-09-01,189.2,5.2428046566177775
2010-10-01,190.4,5.249127122357265
2010-11-01,190.0,5.247024072160486
2010-12-01,189.8,5.245970886175828
2011-01-01,189.8,5.245970886175828
2011-02-01,189.6,5.244916589820922
2011-03-01,189.7,5.245443876940969
2011-04-01,190.5,5.249652194566756
2011-05-01,190.1,5.247550249494384
2011-06-01,189.8,5.245970886175828
